phi,psi,end_state,energy,caspt2_energy,caspt2_root,ms_caspt2_energy,ms_caspt2_root,ms_caspt2_highest_occupation,ms_caspt2_occupation_weight,ms_caspt2_occupation_coeff,config,coeff,weight,dipole moment,start_state,caspt2_energy_difference_ev,ms_caspt2_energy_difference_ev,dx_debyes,dy_debyes,dz_debyes,totald_debyes,transition,energy_difference_eV
225,180,6,-453.626571,-455.1310894472,6,-455.13974011,4.0,22222ud0,0.733253,0.856302,22222ud0,0.7718,0.59567,3.2451,1,6.8478608230070845,6.709104005860955,2.573911898662112,-2.4605301533081207,0.1479334344882274,3.563862414094588,pi_nb_to_pi_*_L,9.087900103600326
240,0,1,-453.390105,-454.8740954246,1,-454.8743525,1.0,22222200,0.722381,0.84993,22222200,0.8414,0.70795,5.417,1,0.0,0.0,,,,,GROUND,0.0
240,0,2,-453.292551,-454.8005196078,2,-454.80049192,2.0,22222ud0,0.654844,-0.809225,22222ud0,-0.80541,0.64869,3.7639,1,2.002100981270796,2.009849786611271,-0.7301037015574805,-0.3724636909845065,0.7587479108210322,1.1169059996543451,pi_nb_to_pi_*_R,2.6545809156000644
240,15,1,-453.960496,-455.3806078132,1,-455.38338553,1.0,22222200,0.935113,-0.967013,22222200,-0.95787,0.91752,5.1689,1,0.0,0.0,,,,,GROUND,0.0
240,15,2,-453.752616,-455.1707152846,2,-455.17077404,2.0,222u220d,0.912439,-0.955217,222u220d,-0.95789,0.91756,3.7931,1,5.711469552745876,5.785456298985239,0.061784606919198,-0.1185715353177992,-0.08161907176406,0.1566467986255134,n_to_pi_*_L,5.656705831999694
240,15,3,-453.736867,-455.1696188719,3,-455.16971936,3.0,22u222d0,0.713217,0.844522,22u222d0,0.85267,0.72704,3.6652,1,5.741304477290872,5.814155618338284,0.1774838185210036,-0.0660696273535033,-0.1022143937314464,0.2152056778902851,n_to_pi_*_R,6.085258170598909
240,15,4,-453.639773,-455.1234751009,4,-455.12317244,5.0,22222ud0,0.813531,0.90196,22222ud0,0.91335,0.83421,7.4543,1,6.996941087480384,7.080762477225436,-1.113277337237201,-1.513709784575658,3.2167173457769103,3.725315333861982,pi_nb_to_pi_*_R,8.72732184219964
240,15,5,-453.62323,-455.1292620918,5,-455.13023452,4.0,2222u20d,0.80417,0.896755,2222u20d,0.87736,0.76975,6.1356,1,6.839468963304344,6.888593393514286,1.0292149871904357,3.2768991195966004,2.410011785307633,4.195891815094954,pi_nb_to_pi_*_L,9.17748003239999
240,30,1,-453.959108,-455.3807230583,1,-455.3828548,1.0,22222200,0.923568,0.961024,22222200,0.95538,0.91275,4.9886,1,0.0,0.0,,,,,GROUND,0.0
240,30,2,-453.748053,-455.1695629589,2,-455.16956705,3.0,2222u2d0,0.905015,-0.951323,2222u2d0,-0.95403,0.91018,3.5836,1,5.745961928814436,5.803858280350172,-0.1310518482371599,-0.0560403557195722,0.0338780265137652,0.1465019763328046,n_to_pi_*_R,5.7431020269996615
240,30,3,-453.741274,-455.1736257338,3,-455.17368428,2.0,222u220d,0.74901,0.865454,222u220d,0.85893,0.73777,3.9136,1,5.635408135899622,5.69182268792918,0.0854088637611321,-0.1396062243300394,-0.0667904184966044,0.176764057226221,n_to_pi_*_L,5.92756810760106
240,30,4,-453.643702,-455.1297717459,4,-455.13070119,4.0,22u2220d,0.437905,0.661744,22u2220d,0.76609,0.58689,5.384,1,6.82873654224266,6.861452743153823,-0.2427389741165467,-2.758309162905128,-3.0498652199991865,4.119328768655199,pi_nb_to_pi_*_L,8.582638828399888
240,30,5,-453.626128,-455.1286855241,5,-455.12667257,5.0,22222ud0,0.584042,0.764227,22222ud0,0.90652,0.82178,7.3544,1,6.858294158131025,6.971077133422975,-0.8780567712781099,-1.4869802087145705,3.5704487159936567,3.966131333617991,pi_nb_to_pi_*_R,9.060851972000558
240,90,1,-453.95989,-455.3805757165,1,-455.38414787,1.0,22222200,0.940538,0.969813,22222200,0.96066,0.92287,1.4114,1,0.0,0.0,,,,,GROUND,0.0
240,90,2,-453.748267,-455.1666672613,2,-455.16672888,3.0,222u22d0,0.899994,-0.94868,222u22d0,-0.94843,0.89951,2.5223,1,5.820748537829242,5.916275104485966,-0.0164813704200723,-0.0189863261965759,-0.1358481637082672,0.1381551291631084,n_to_pi_*_L,5.758558102199308
240,90,3,-453.740445,-455.177078393,3,-455.17740992,2.0,22u2220d,0.759287,-0.871371,22u2220d,-0.89255,0.79665,2.9622,1,5.537447068688352,5.625629052629733,-0.3032213462242283,-0.1764449275141312,-0.1176894232137774,0.3700362124354439,n_to_pi_*_R,5.971405672998656
